Campaign_ID,Brand,Campaign_Type,Target_Audience,Channel_Used,Duration,Language,Customer_Segment,Campaign_Date,Impressions,Clicks,Leads,Conversions,Revenue,CPA,Total_Spend,Profit,CTR,Lead_Rate,Conversion_Rate,ROI,Engagement_Score,ROI_Category
NY-CMP-24494,Nykaa,"Paid Ads","Working Women","YouTube, WhatsApp, Instagram",22,Hindi,"Tier 2 City Customers",2024-07-12,92864,13417,5207,4140,2616480,13.66,56552.40,2559927.60,0.1445,0.3881,0.7951,45.2500,24.51,Excellent
NY-CMP-40371,Nykaa,"Social Media","Tier 2 City Customers","WhatsApp, YouTube, Instagram",17,Tamil,Youth,2025-05-04,96669,12465,5358,4088,2563176,13.66,55842.08,2507333.92,0.1289,0.4298,0.7630,44.9100,22.67,Excellent
NY-CMP-8168,Nykaa,"Social Media","College Students","Google, Email",18,Hindi,"Tier 2 City Customers",2025-01-25,83856,12249,6598,4705,3255860,15.49,72880.45,3182979.55,0.1461,0.5387,0.7131,43.6600,28.09,Excellent
NY-CMP-55470,Nykaa,"Social Media",Youth,"Email, Instagram",13,Tamil,"Premium Shoppers",2024-10-20,93358,9550,4368,3446,2370848,15.43,53171.78,2317676.22,0.1023,0.4574,0.7889,43.5700,18.60,Excellent
NY-CMP-27792,Nykaa,Influencer,"Tier 2 City Customers","WhatsApp, Instagram",13,English,"Working Women",2025-04-07,99880,10247,5074,4054,2999960,16.65,67499.10,2932460.90,0.1026,0.4952,0.7990,43.4400,19.40,Excellent
NY-CMP-1885,Nykaa,"Social Media",Youth,WhatsApp,15,Bengali,"College Students",2025-02-28,88723,8224,4737,3542,2518362,16.03,56778.26,2461583.74,0.0927,0.5760,0.7477,43.3600,18.60,Excellent
NY-CMP-38125,Nykaa,SEO,"Working Women","WhatsApp, Instagram, YouTube",16,Hindi,"Tier 2 City Customers",2024-10-02,86277,11050,6608,5098,3063898,13.59,69281.82,2994616.18,0.1281,0.5980,0.7715,43.2400,26.38,Excellent
NY-CMP-49696,Nykaa,Influencer,"Premium Shoppers","Instagram, WhatsApp, Facebook",17,Hindi,"Working Women",2025-05-22,82375,11970,6391,4199,2561390,13.85,58156.15,2503233.85,0.1453,0.5339,0.6570,43.0400,27.39,Excellent
NY-CMP-22849,Nykaa,Email,"Premium Shoppers","YouTube, Instagram",30,Bengali,"Premium Shoppers",2024-08-17,98238,13336,5871,4032,2338560,13.20,53222.40,2285337.60,0.1358,0.4402,0.6868,42.9500,23.66,Excellent
NY-CMP-44157,Nykaa,SEO,"Working Women",YouTube,9,Tamil,"Working Women",2025-05-14,96393,14025,7189,5607,4412709,18.08,101374.56,4311334.44,0.1455,0.5126,0.7799,42.5300,27.82,Excellent
NY-CMP-7698,Nykaa,"Paid Ads","Tier 2 City Customers","Google, Instagram, Email",11,English,"College Students",2025-04-24,96856,12746,7555,4962,3875322,17.95,89067.90,3786254.10,0.1316,0.5927,0.6568,42.5200,26.08,Excellent
NY-CMP-47101,Nykaa,SEO,"College Students",Facebook,24,Hindi,"Working Women",2024-09-23,71246,6307,3420,2729,2134078,18.33,50022.57,2084055.43,0.0885,0.5423,0.7980,41.6700,17.48,Excellent
NY-CMP-48434,Nykaa,"Social Media","College Students","Facebook, Email, WhatsApp",17,Bengali,"Premium Shoppers",2024-08-07,95523,12936,6885,4298,2755018,15.16,65157.68,2689860.32,0.1354,0.5322,0.6243,41.2900,25.25,Excellent
NY-CMP-25729,Nykaa,SEO,"College Students",Facebook,24,Bengali,"College Students",2025-04-26,95342,10302,5596,3706,2342192,15.02,55664.12,2286527.88,0.1081,0.5432,0.6623,41.0900,20.56,Excellent
NY-CMP-53612,Nykaa,Email,"Premium Shoppers","Instagram, Email",22,Hindi,"Tier 2 City Customers",2025-03-05,97857,12925,6997,5359,4067481,18.19,97480.21,3970000.79,0.1321,0.5414,0.7659,40.7300,25.83,Excellent
NY-CMP-17837,Nykaa,"Paid Ads","College Students","Google, Email, Facebook",21,Hindi,Youth,2024-07-24,96349,11136,5446,4157,2693736,15.55,64641.35,2629094.65,0.1156,0.4890,0.7633,40.6800,21.52,Excellent
NY-CMP-39575,Nykaa,SEO,Youth,"Google, Email",12,Tamil,"Tier 2 City Customers",2024-07-22,84078,11918,5743,4370,2504010,13.83,60437.10,2443572.90,0.1417,0.4819,0.7609,40.4400,26.20,Excellent
NY-CMP-31568,Nykaa,Email,Youth,"Email, Google, Facebook",22,Bengali,"College Students",2024-08-18,76953,9336,5557,3695,2741690,17.94,66288.30,2675401.70,0.1213,0.5952,0.6649,40.3500,24.16,Excellent
NY-CMP-4310,Nykaa,SEO,Youth,"Email, WhatsApp",19,Tamil,"Working Women",2025-05-20,79642,11633,5200,4121,2188251,12.85,52954.85,2135296.15,0.1461,0.4470,0.7925,40.3300,26.31,Excellent
NY-CMP-14545,Nykaa,"Paid Ads","Tier 2 City Customers",WhatsApp,5,Bengali,Youth,2024-08-07,90493,11195,5816,4498,3445468,18.61,83707.78,3361760.22,0.1237,0.5195,0.7734,40.1600,23.77,Excellent
NY-CMP-46717,Nykaa,Influencer,"College Students","Instagram, Google, Email",8,Bengali,"College Students",2025-01-12,87693,9024,4853,3709,2867057,18.95,70285.55,2796771.45,0.1029,0.5378,0.7643,39.7800,20.05,Excellent
NY-CMP-45241,Nykaa,Influencer,"Premium Shoppers","WhatsApp, Facebook",20,Tamil,Youth,2024-12-03,98100,14409,6398,5095,3454410,16.64,84780.80,3369629.20,0.1469,0.4440,0.7963,39.7400,26.40,Excellent
NY-CMP-43882,Nykaa,Influencer,"College Students","Email, Instagram",14,Bengali,"Tier 2 City Customers",2024-08-13,63312,8768,3608,2766,2187906,19.44,53771.04,2134134.96,0.1385,0.4115,0.7666,39.7000,23.92,Excellent
NY-CMP-30987,Nykaa,"Social Media","Tier 2 City Customers","Email, YouTube, Google",12,Tamil,Youth,2024-08-30,94874,13253,6683,4721,2917578,15.18,71664.78,2845913.22,0.1397,0.5043,0.7064,39.7000,25.99,Excellent
NY-CMP-12866,Nykaa,Email,"Premium Shoppers","YouTube, Instagram",30,Tamil,Youth,2024-07-11,65589,9119,5437,4026,3055734,18.77,75568.02,2980165.98,0.1390,0.5962,0.7405,39.4400,28.33,Excellent
NY-CMP-36425,Nykaa,"Paid Ads",Youth,"Email, Facebook",13,Tamil,"Premium Shoppers",2024-09-17,58128,8114,4628,3085,2227370,17.96,55406.60,2171963.40,0.1396,0.5704,0.6666,39.2000,27.23,Excellent
NY-CMP-51864,Nykaa,Email,Youth,"Instagram, Email, WhatsApp",21,Tamil,"Working Women",2024-07-17,78490,11580,6813,3392,2242112,16.56,56171.52,2185940.48,0.1475,0.5883,0.4979,38.9300,27.76,Excellent
NY-CMP-18965,Nykaa,SEO,"Working Women","Facebook, YouTube, Email",17,English,"Premium Shoppers",2024-07-23,86898,11450,5650,3304,2484608,18.84,62247.36,2422360.64,0.1318,0.4934,0.5848,38.9200,23.48,Excellent
NY-CMP-15029,Nykaa,Influencer,"Tier 2 City Customers","Google, YouTube",12,Hindi,"Working Women",2024-09-10,98916,10966,5104,3071,2165055,17.85,54817.35,2110237.65,0.1109,0.4654,0.6017,38.4900,19.35,Excellent
NY-CMP-25521,Nykaa,"Social Media",Youth,"Email, Google",11,English,"Premium Shoppers",2025-03-16,88009,10404,5694,4336,2614608,15.29,66297.44,2548310.56,0.1182,0.5473,0.7615,38.4500,23.22,Excellent
NY-CMP-20819,Nykaa,"Social Media","Tier 2 City Customers","WhatsApp, YouTube, Instagram",9,Tamil,Youth,2025-02-10,96278,14283,8219,4695,2915595,15.83,74321.85,2841273.15,0.1484,0.5754,0.5712,38.2300,28.25,Excellent
NY-CMP-31793,Nykaa,"Paid Ads","College Students","Instagram, Facebook",15,Hindi,"Premium Shoppers",2025-02-20,73912,9841,4253,3321,2600343,20.06,66619.26,2533723.74,0.1331,0.4322,0.7809,38.0400,23.56,Excellent
NY-CMP-11687,Nykaa,Influencer,Youth,"Facebook, Google, YouTube",15,English,"Premium Shoppers",2024-08-15,84002,11729,5759,3744,2208960,15.13,56646.72,2152313.28,0.1396,0.4910,0.6501,38.0000,25.28,Excellent
NY-CMP-34917,Nykaa,"Paid Ads","Premium Shoppers",WhatsApp,19,English,"Premium Shoppers",2025-03-17,95821,10911,4429,3204,2451060,19.71,63150.84,2387909.16,0.1139,0.4059,0.7234,37.8100,19.35,Excellent
NY-CMP-35160,Nykaa,"Paid Ads","Premium Shoppers","Facebook, WhatsApp",18,English,Youth,2025-02-06,77089,8780,4849,2903,2264340,20.24,58756.72,2205583.28,0.1139,0.5523,0.5987,37.5400,21.45,Excellent
NY-CMP-31276,Nykaa,SEO,"Premium Shoppers","YouTube, Google, WhatsApp",16,Bengali,"Premium Shoppers",2024-10-11,94118,12637,6510,3869,2986868,20.11,77805.59,2909062.41,0.1343,0.5152,0.5943,37.3900,24.45,Excellent
NY-CMP-6401,Nykaa,"Social Media","Tier 2 City Customers","Instagram, Google, YouTube",23,Tamil,"College Students",2024-12-08,97856,13761,6686,3986,2116566,13.93,55524.98,2061041.02,0.1406,0.4859,0.5962,37.1200,24.97,Excellent
NY-CMP-36793,Nykaa,SEO,"Tier 2 City Customers",Email,13,English,"College Students",2025-01-09,74949,8151,4599,2631,1946940,19.44,51146.64,1895793.36,0.1088,0.5642,0.5721,37.0700,20.52,Excellent
NY-CMP-37477,Nykaa,Email,"Premium Shoppers","YouTube, WhatsApp",14,English,"College Students",2025-05-31,97157,14477,5734,3642,2906316,21.10,76846.20,2829469.80,0.1490,0.3961,0.6352,36.8200,24.55,Excellent
NY-CMP-14851,Nykaa,Email,"Premium Shoppers","Email, Facebook, WhatsApp",27,Tamil,Youth,2024-10-04,95191,12109,4338,3450,2042400,15.66,54027.00,1988373.00,0.1272,0.3582,0.7953,36.8000,20.90,Excellent
NY-CMP-48626,Nykaa,SEO,"Working Women","YouTube, Google, Email",22,Hindi,Youth,2024-08-08,87183,11716,6652,4245,3171015,19.90,84475.50,3086539.50,0.1344,0.5678,0.6382,36.5500,25.94,Excellent
NY-CMP-21694,Nykaa,SEO,Youth,Google,11,Bengali,"Premium Shoppers",2025-04-30,76757,10362,4682,3733,2766153,19.76,73764.08,2692388.92,0.1350,0.4518,0.7973,36.5000,24.46,Excellent
NY-CMP-51338,Nykaa,Influencer,"Premium Shoppers","Facebook, Google, WhatsApp",6,Bengali,"College Students",2024-07-19,77682,8142,4827,2760,2208000,21.35,58926.00,2149074.00,0.1048,0.5929,0.5718,36.4800,20.25,Excellent
NY-CMP-22263,Nykaa,SEO,"Tier 2 City Customers",Email,14,Bengali,"Tier 2 City Customers",2024-08-05,99111,11517,6843,3780,1878660,13.31,50311.80,1828348.20,0.1162,0.5942,0.5524,36.3300,22.34,Excellent
NY-CMP-13058,Nykaa,"Paid Ads","College Students",WhatsApp,18,Tamil,Youth,2025-05-21,51048,6283,3724,2919,2119194,19.45,56774.55,2062419.45,0.1231,0.5927,0.7838,36.3300,25.32,Excellent
NY-CMP-4092,Nykaa,"Social Media","Working Women",YouTube,19,English,"Premium Shoppers",2024-10-07,75969,11031,6275,4980,3381420,18.23,90785.40,3290634.60,0.1452,0.5689,0.7936,36.2500,29.34,Excellent
NY-CMP-26166,Nykaa,SEO,"Premium Shoppers",WhatsApp,25,English,"Working Women",2024-12-23,91730,9646,4971,3416,2117920,16.73,57149.68,2060770.32,0.1052,0.5153,0.6872,36.0600,19.66,Excellent
NY-CMP-13062,Nykaa,"Social Media","Tier 2 City Customers","YouTube, Instagram",25,Hindi,"Premium Shoppers",2025-01-26,76484,9974,5828,3186,2335338,19.81,63114.66,2272223.34,0.1304,0.5843,0.5467,36.0100,24.83,Excellent
NY-CMP-22628,Nykaa,Influencer,"College Students",WhatsApp,23,English,"Tier 2 City Customers",2024-08-16,82845,12229,3923,3062,2302624,20.35,62311.70,2240312.30,0.1476,0.3208,0.7805,35.9500,23.19,Excellent
NY-CMP-39107,Nykaa,Influencer,"Premium Shoppers","Facebook, YouTube",20,Hindi,"College Students",2024-09-04,78271,10973,5405,3856,2456272,17.25,66516.00,2389756.00,0.1402,0.4926,0.7134,35.9300,25.85,Excellent
NY-CMP-16653,Nykaa,SEO,"Working Women","Facebook, Email, WhatsApp",18,English,"Tier 2 City Customers",2025-01-05,89452,8350,4487,3046,2180936,19.41,59122.86,2121813.14,0.0933,0.5374,0.6789,35.8800,17.76,Excellent
NY-CMP-48235,Nykaa,SEO,"Working Women",Google,18,Bengali,"Premium Shoppers",2025-03-01,71980,8874,4787,2499,1954218,21.25,53103.75,1901114.25,0.1233,0.5394,0.5220,35.8100,22.45,Excellent
NY-CMP-17633,Nykaa,"Social Media","College Students",Instagram,16,English,Youth,2024-09-19,79757,9759,3952,2748,1926348,19.07,52404.36,1873943.64,0.1224,0.4050,0.6953,35.7500,20.64,Excellent
NY-CMP-8676,Nykaa,"Paid Ads","Premium Shoppers","Google, WhatsApp",20,Bengali,"Premium Shoppers",2024-08-23,95053,13056,4421,3069,2043954,18.13,55640.97,1988313.03,0.1374,0.3386,0.6942,35.7300,21.62,Excellent
NY-CMP-24474,Nykaa,"Social Media",Youth,"YouTube, Instagram",27,Hindi,"Tier 2 City Customers",2025-03-22,86938,12054,6613,3963,2472912,17.01,67410.63,2405501.37,0.1387,0.5486,0.5993,35.6800,26.03,Excellent
NY-CMP-8380,Nykaa,Email,"Tier 2 City Customers",WhatsApp,30,Hindi,"Working Women",2024-12-08,92766,13714,7845,4319,2695056,17.02,73509.38,2621546.62,0.1478,0.5720,0.5505,35.6600,27.90,Excellent
NY-CMP-19198,Nykaa,SEO,"Premium Shoppers",Google,26,Hindi,"College Students",2024-11-28,89770,9180,4648,3076,1944032,17.24,53030.24,1891001.76,0.1023,0.5063,0.6618,35.6600,18.83,Excellent
NY-CMP-48237,Nykaa,"Social Media","Premium Shoppers","YouTube, WhatsApp",12,Hindi,"Tier 2 City Customers",2025-05-20,59135,8628,4501,3411,2148930,17.22,58737.42,2090192.58,0.1459,0.5217,0.7578,35.5900,27.97,Excellent
NY-CMP-11842,Nykaa,"Paid Ads","Premium Shoppers","Email, Instagram",11,English,"Working Women",2024-07-05,65602,8005,4671,3518,2244484,17.48,61494.64,2182989.36,0.1220,0.5835,0.7532,35.5100,24.69,Excellent
NY-CMP-35460,Nykaa,"Paid Ads",Youth,"Facebook, Instagram, Google",30,Tamil,"Premium Shoppers",2025-03-13,74631,10039,5834,3678,1967730,14.70,54066.60,1913663.40,0.1345,0.5811,0.6304,35.4100,26.20,Excellent
NY-CMP-32239,Nykaa,Email,"Tier 2 City Customers","YouTube, Facebook",17,Hindi,Youth,2024-07-22,77902,11516,6610,3154,2371808,20.69,65256.26,2306551.74,0.1478,0.5740,0.4772,35.3500,27.32,Excellent
NY-CMP-44720,Nykaa,"Social Media","College Students","Facebook, WhatsApp, Instagram",23,Tamil,"College Students",2024-09-27,67796,9790,5700,4295,2907715,18.84,80917.80,2826797.20,0.1444,0.5822,0.7535,34.9400,29.18,Excellent
NY-CMP-13853,Nykaa,Email,"Tier 2 City Customers","Facebook, YouTube, WhatsApp",13,English,"Premium Shoppers",2024-12-17,79218,11665,6294,3049,1838547,16.78,51162.22,1787384.78,0.1473,0.5396,0.4844,34.9400,26.52,Excellent
NY-CMP-52029,Nykaa,"Paid Ads",Youth,"Google, Email",30,English,"Working Women",2025-03-21,87286,11757,5356,3339,1996722,16.64,55560.96,1941161.04,0.1347,0.4556,0.6234,34.9400,23.43,Excellent
NY-CMP-40527,Nykaa,Email,"Tier 2 City Customers","Email, YouTube",22,English,"Premium Shoppers",2025-03-06,78579,11453,6803,5371,4022879,20.87,112092.77,3910786.23,0.1458,0.5940,0.7895,34.8800,30.07,Excellent
NY-CMP-46482,Nykaa,Email,"College Students","Google, Email",16,Hindi,Youth,2024-11-10,59742,7353,3568,2844,1953828,19.17,54519.48,1899308.52,0.1231,0.4852,0.7971,34.8400,23.04,Excellent
NY-CMP-38557,Nykaa,"Social Media","College Students","Google, YouTube",23,Hindi,Youth,2025-01-06,83073,11424,5674,3467,2752798,22.17,76863.39,2675934.61,0.1375,0.4967,0.6110,34.8200,24.76,Excellent
NY-CMP-23670,Nykaa,SEO,"Working Women","Google, Facebook, YouTube",27,English,"Working Women",2025-04-10,56204,7081,3446,2753,2180376,22.24,61226.72,2119149.28,0.1260,0.4867,0.7989,34.6100,23.63,Excellent
NY-CMP-9462,Nykaa,"Paid Ads","Tier 2 City Customers","Facebook, Email, WhatsApp",17,Hindi,"Tier 2 City Customers",2024-12-31,98748,11516,6842,2632,1987160,21.22,55851.04,1931308.96,0.1166,0.5941,0.3847,34.5800,21.26,Excellent
NY-CMP-28329,Nykaa,SEO,"Premium Shoppers","Email, Facebook",16,Hindi,"College Students",2024-12-18,78752,11209,6213,3810,2647950,19.56,74523.60,2573426.40,0.1423,0.5543,0.6132,34.5400,26.96,Excellent
NY-CMP-2360,Nykaa,Email,"Premium Shoppers",Facebook,5,Hindi,"College Students",2025-04-13,70234,9703,5734,4216,1926712,12.93,54512.88,1872199.12,0.1382,0.5910,0.7353,34.3400,27.98,Excellent
NY-CMP-11756,Nykaa,Influencer,"Working Women","Instagram, Email, WhatsApp",7,Tamil,"Premium Shoppers",2024-12-04,85200,12632,5903,4705,3091185,18.59,87465.95,3003719.05,0.1483,0.4673,0.7971,34.3300,27.28,Excellent
NY-CMP-37693,Nykaa,"Social Media","College Students",Facebook,26,Tamil,"Working Women",2025-02-28,83857,12488,5942,4122,3198672,22.03,90807.66,3107864.34,0.1489,0.4758,0.6937,34.2300,26.89,Excellent
NY-CMP-12425,Nykaa,Email,"College Students","Google, Email",25,Bengali,"Premium Shoppers",2024-11-02,71871,10063,3115,2425,1874525,21.99,53325.75,1821199.25,0.1400,0.3095,0.7785,34.1600,21.71,Excellent
NY-CMP-55045,Nykaa,SEO,"College Students",WhatsApp,24,English,Youth,2024-10-03,86316,7544,4285,2572,1805544,19.97,51362.84,1754181.16,0.0874,0.5680,0.6002,34.1600,16.68,Excellent
NY-CMP-9789,Nykaa,"Paid Ads",Youth,Google,29,Bengali,"Premium Shoppers",2024-09-02,83201,10143,5709,3407,2153224,17.99,61291.93,2091932.07,0.1219,0.5629,0.5968,34.1300,23.15,Excellent
NY-CMP-14244,Nykaa,Influencer,"College Students","Instagram, Email, WhatsApp",30,Bengali,"Working Women",2025-05-25,79427,10737,5870,3306,2558844,22.04,72864.24,2485979.76,0.1352,0.5467,0.5632,34.1300,25.07,Excellent
NY-CMP-4274,Nykaa,Influencer,"Tier 2 City Customers","Google, YouTube",30,Tamil,"College Students",2025-05-17,86717,11927,4941,3166,2152880,19.38,61357.08,2091522.92,0.1375,0.4143,0.6408,34.0900,23.10,Excellent
NY-CMP-39248,Nykaa,Email,Youth,Facebook,29,English,"Tier 2 City Customers",2024-07-27,82632,11992,3027,2411,1808250,21.46,51740.06,1756509.94,0.1451,0.2524,0.7965,33.9500,21.09,Excellent
NY-CMP-44834,Nykaa,"Paid Ads",Youth,"Google, Email, YouTube",16,Bengali,"Tier 2 City Customers",2025-02-13,97826,10015,4970,3751,1777974,13.57,50901.07,1727072.93,0.1024,0.4963,0.7547,33.9300,19.15,Excellent
NY-CMP-30206,Nykaa,Influencer,"Premium Shoppers",Instagram,26,Hindi,"Premium Shoppers",2024-08-27,67203,8025,4681,3283,2508212,21.90,71897.70,2436314.30,0.1194,0.5833,0.7013,33.8800,23.79,Excellent
NY-CMP-5197,Nykaa,"Paid Ads","Working Women","Email, Facebook",21,Bengali,Youth,2024-07-05,99809,13066,7433,5014,2572182,14.74,73906.36,2498275.64,0.1309,0.5689,0.6746,33.8000,25.56,Excellent
NY-CMP-19314,Nykaa,"Social Media","College Students","YouTube, WhatsApp",7,Tamil,Youth,2024-08-12,94678,13219,6112,4491,2092806,13.44,60359.04,2032446.96,0.1396,0.4624,0.7348,33.6800,25.16,Excellent
NY-CMP-12118,Nykaa,Email,"College Students","Instagram, WhatsApp, Google",29,Bengali,"Working Women",2024-07-15,80354,11730,4246,3105,2282175,21.24,65950.20,2216224.80,0.1460,0.3620,0.7313,33.6000,23.75,Excellent
NY-CMP-14610,Nykaa,Email,"Tier 2 City Customers","YouTube, Instagram",26,Bengali,"College Students",2024-10-18,84109,9109,5325,3033,2038176,19.44,58961.52,1979214.48,0.1083,0.5846,0.5696,33.5600,20.77,Excellent
NY-CMP-35690,Nykaa,Influencer,"Working Women","Google, Instagram",7,Bengali,"Working Women",2025-05-07,96305,11411,4956,2812,1878416,19.36,54440.32,1823975.68,0.1185,0.4343,0.5674,33.5100,19.91,Excellent
NY-CMP-4192,Nykaa,SEO,Youth,"Instagram, Google",9,English,"Tier 2 City Customers",2024-12-01,78389,11393,6355,4491,2434122,15.77,70823.07,2363298.93,0.1453,0.5578,0.7067,33.3700,28.37,Excellent
NY-CMP-38621,Nykaa,"Paid Ads","College Students","Facebook, Email, YouTube",19,Tamil,"College Students",2024-12-24,82125,12157,7214,5487,2897136,15.41,84554.67,2812581.33,0.1480,0.5934,0.7606,33.2600,30.27,Excellent
NY-CMP-9746,Nykaa,Influencer,"Working Women","Facebook, Google",20,Tamil,"Premium Shoppers",2025-02-24,70626,9306,3475,2541,1809192,20.78,52801.98,1756390.02,0.1318,0.3734,0.7312,33.2600,21.69,Excellent
NY-CMP-3981,Nykaa,Email,"Tier 2 City Customers","Email, Google",25,Bengali,Youth,2024-10-05,83778,7657,3340,2355,1832190,22.72,53505.60,1778684.40,0.0914,0.4362,0.7051,33.2400,15.94,Excellent
NY-CMP-47362,Nykaa,Influencer,"Premium Shoppers",WhatsApp,27,Tamil,"College Students",2025-04-06,84286,11408,6507,3535,2637110,21.81,77098.35,2560011.65,0.1353,0.5704,0.5433,33.2000,25.45,Excellent
